code|text_fr|text_de|text_it|version|inclusions_de|inclusions_fr|inclusions_it|exclusions_de|exclusions_fr|exclusions_it|descriptions_de|descriptions_fr|descriptions_it|most_relevant_drgs
78.59|Fixation interne de l'os sans réduction de fracture, sauf os de la face|Innere Knochenfixation ohne Reposition der Fraktur an anderen näher bezeichneten Knochen, ausser Gesichtsschädelknochen|Fissazione interna di altre ossa specificate, senza riduzione di frattura, escluse quelle facciali|CHOP 2015|||||||{Beckenknochen, Phalangen (der Hand) (des Fusses), Wirbel}|{Os pelviens, phalanges (de la main) (du pied), vertèbres}|{Ossa pelviche, falangi (del piede) (della mano), vertebre}|{}
78.59.0|Détail de la sous-catégorie 78.59|Detail der Subkategorie 78.59|Dettaglio della sottocategoria 78.59|CHOP 2015||||||||||{}
78.59.00|Fixation interne de l'os sans réduction de fracture, autre site spécifié, sauf os de la face, SAP|Innere Knochenfixation ohne Reposition der Fraktur an anderen näher bezeichneten Knochen, ausser Gesichtsschädelknochen, n.n.bez.|Fissazione interna di altre ossa specificate, senza riduzione di frattura, escluse quelle facciali, NAS|CHOP 2015||||||||||{}
78.59.10|Révision (sans remplacement) de matériel d'ostéosynthèse, phalanges de la main|Revision von Osteosynthesematerial (ohne Materialwechsel) an Phalangen der Hand|Revisione (senza sostituzione) di materiale di osteosintesi di falangi delle mani|CHOP 2015||||||||||{}
78.59.20|Révision (sans remplacement) de matériel d'ostéosynthèse, colonne vertébrale|Revision von Osteosynthesematerial (ohne Materialwechsel) an der Wirbelsäule|Revisione (senza sostituzione) di materiale di osteosintesi della colonna vertebrale|CHOP 2015||||||||||{}
78.59.30|Révision (sans remplacement) de matériel d'ostéosynthèse, os du bassin|Revision von Osteosynthesematerial (ohne Materialwechsel) am Becken|Revisione (senza sostituzione) di materiale di osteosintesi delle ossa pelviche|CHOP 2015||||||||||{}
78.59.40|Révision (sans remplacement) de matériel d'ostéosynthèse, phalanges du pied|Revision von Osteosynthesematerial (ohne Materialwechsel) an Phalangen des Fusses|Revisione (senza sostituzione) di materiale di osteosintesi di falangi dei piedi|CHOP 2015||||||||||{}
78.59.90|Révision (sans remplacement) de matériel d'ostéosynthèse, autre site spécifié, sauf os de la face|Revision von Osteosynthesematerial (ohne Materialwechsel) an anderen näher bezeichneten Knochen, ausser Gesichtsschädelknochen|Revisione (senza sostituzione) di materiale di osteosintesi di altre ossa specificate, escluse quelle facciali|CHOP 2015||||||||||{}
78.59.99|Fixation interne de l'os sans réduction de fracture, autre site spécifié, sauf os de la face, autre|Innere Knochenfixation ohne Reposition der Fraktur an anderen näher bezeichneten Knochen, ausser Gesichtsschädelknochen, sonstige|Fissazione interna di altre ossa specificate, senza riduzione di frattura, escluse quelle facciali, altro|CHOP 2015||||||||||{}
78.6|Ablation de matériel implanté dans l'os|Knochenimplantatentfernung|Rimozione di dispositivi impiantati|CHOP 2015|{Entfernen der für die Spondylodese verwendeten Pedikelschraube(n)}|{Ablation de vis pédiculaire(s) utilisée(s) pour arthrodèse vertébrale}|{Rimozione di vite(i) peduncolare(i) per artrodesi vertebrale}|{Entfernen von Beweglichkeit erhaltenden Vorrichtung(en) (dynamische Wirbelsäuleimplantate) der posterioren Wirbelsäule, (Ersetzen einer Facette, dynamische Stabilisierung mit Pedikelschrauben, interspinöse Implantate) (80.09),Entfernen von Traktionsvorrichtungen an der Schädelkalotte (Crutchfield-Klemme, Halotraktion) (02.95)}|{Ablation de dispositif(s) postérieur(s) de conservation de la mobilité rachidienne (remplacement de facettes articulaires, fixation dynamique avec vis pédiculaires, système interépineux) (80.09),Ablation d'appareillage de traction crânienne (étrier, halo) (02.95)}|{Rimozione di dispositivo(i) di stabilizzazione posteriore con conservazione della mobilità vertebrale (sostituzione della faccetta articolare, stabilizzazione dinamica per via peduncolare, dispositivo interspinoso) (80.09),Rimozione di trazione transcranica o halo (02.95)}|{Entfernen eines Knochenwachstumsstimulators (invasiv),Entfernen von internen Verlängerungsvorrichtungen der Extremitäten,Entfernen von interner oder externer Knochenfixation (invasiv)}|{Ablation de stimulateur de croissance osseuse (invasive),Ablation de dispositif interne d'allongement de membres,Ablation de matériel de fixation interne ou de fixation externe (invasive)}|{Rimozione di stimolatore di crescita ossea (invasivo),Rimozione di fissatore interno, fissatore esterno (invasivo),Rimozione di dispositivo interno di allungamento di ossa degli arti}|{}
78.60|Ablation de matériel implanté dans l'os, site non spécifié|Knochenimplantatentfernung, ohne Angabe der Lokalisation|Rimozione di dispositivo impiantato, in sede non specificata|CHOP 2015||||||||||{}
78.60.00|Ablation de matériel implanté dans l'os, site non spécifié, SAP|Knochenimplantatentfernung, ohne Angabe der Lokalisation, n.n.bez.|Rimozione di dispositivo impiantato, in sede non specificata, NAS|CHOP 2015||||||||||{}
78.60.05|Ablation de matériel implanté dans l'os, site non spécifié, enlèvement d'implant de remplacement (partiel) osseux|Knochenimplantatentfernung, ohne Angabe der Lokalisation, Entfernung eines Knochen(teil)ersatzes|Rimozione di dispositivo impiantato, in sede non specificata, Rimozione di sostituto osseo (parziale)|CHOP 2015||||||||||{}
78.60.08|Enlèvement de système interne d'allongement ou de transport de l'os (motorisé / non-motorisé), tout site|Entfernung eines internen Verlängerungs- oder Knochentransportsystems (motorisiert / nicht-motorisiert), jede Lokalisation|Rimozione di sistema interno di allungamento o trasporto osseo (motorizzato / non motorizzato), in sede non specificata|CHOP 2015||||||||||{}
78.60.99|Ablation de matériel implanté dans l'os, site non spécifié, autre|Knochenimplantatentfernung, ohne Angabe der Lokalisation, sonstige|Rimozione di dispositivo impiantato, in sede non specificata, altro|CHOP 2015||||||||||{}
78.61|Ablation de matériel implanté dans l'os, clavicule, omoplate, côtes et sternum|Knochenimplantatentfernung an Skapula, Klavikula, Rippen und Sternum|Rimozione di dispositivo impiantato da scapola, clavicola, coste e sterno|CHOP 2015||||||||||{}
78.61.00|Ablation de matériel implanté dans l'os, clavicule, omoplate, côtes et sternum, SAP|Knochenimplantatentfernung an Skapula, Klavikula, Rippen und Sternum, n.n.bez.|Rimozione di dispositivo impiantato da scapola, clavicola, coste e sterno, NAS|CHOP 2015||||||||||{}
78.61.01|Ablation de matériel implanté dans l'omoplate et la clavicule: fil, fil intramédullaire, vis, cerclage-haubanage, plaque, plaque à stabilité angulaire, fixateur externe, agrafes de Blount|Knochenimplantatentfernung an Skapula und Klavikula, Draht, intramedullärer Draht, Schraube, Zuggurtung/Cerclage, Platte, winkelstabile Platte, Fixateur externe, Blount-Klammern|Rimozione di dispositivo impiantato da scapola e clavicola: filo, filo endomidollare, vite, cerchiaggio dinamico, placca, placca a stabilità angolare, fissatore esterno, staffe di Blount|CHOP 2015||||||||||{}
78.61.05|Ablation de matériel implanté dans l'os, clavicule, omoplate, côtes et sternum; enlèvement d'implant de remplacement (partiel) osseux, clavicule, omoplate, côtes et sternum|Knochenimplantatentfernung an Skapula, Klavikula, Rippen und Sternum, Entfernung eines Knochen(teil)ersatzes an Skapula, Klavikula, Rippen und Sternum|Rimozione di dispositivo impiantato da scapola, clavicola, coste e sterno, Rimozione di sostituto osseo (parziale) da scapola, clavicola, coste e sterno|CHOP 2015||||||||||{}
78.61.08|Ablation de matériel implanté dans l'omoplate et la clavicule: autre matériel d'ostéosynthèse|Knochenimplantatentfernung an Skapula und Klavikula, sonstiges Osteosynthesematerial|Rimozione di dispositivo impiantato da scapola e clavicola: altro materiale di osteosintesi|CHOP 2015||||||||||{}
78.61.11|Ablation de matériel implanté dans les côtes et le sternum|Knochenimplantatentfernung an Rippen und Sternum|Rimozione di dispositivo impiantato da coste e sterno|CHOP 2015||||||||||{}
78.61.99|Ablation de matériel implanté dans l'os, clavicule, omoplate, côtes et sternum, autre|Knochenimplantatentfernung an Skapula, Klavikula, Rippen und Sternum, sonstige|Rimozione di dispositivo impiantato da scapola, clavicola, coste e sterno, altro|CHOP 2015||||||||||{}
78.62|Ablation de matériel implanté dans l'os, humérus|Knochenimplantatentfernung am Humerus|Rimozione di dispositivo impiantato dall'omero|CHOP 2015||||||||||{}
78.62.00|Ablation de matériel implanté dans l'os, humérus, SAP|Knochenimplantatentfernung am Humerus, n.n.bez|Rimozione di dispositivo impiantato dall'omero, NAS|CHOP 2015||||||||||{}
78.62.01|Ablation de matériel implanté dans l'humérus: fil (intramédullaire), vis, cerclage-haubanage, plaque (à stabilité angulaire), plaque angulaire/condylienne, clou médullaire, clou de verrouillage, vis de transfixation, fixateur externe, agrafes (de Blount)|Knochenimplantatentfernung am Humerus, (intramedullärer) Draht, Schraube, Zuggurtung/Cerclage, (winkelstabile) Platte, Winkelplatte /Kondylenplatte, Marknagel, Verriegelungsnagel, Transfixationsnagel, Fixateur externe, Ringfixateur, (Blount-)Klammern|Rimozione di dispositivo impiantato dall'omero: filo (endomidollare), vite, cerchiaggio dinamico, placca (con stabilità angolare), placca angolata / condilare, chiodo endomidollare, chiodo di bloccaggio, chiodo di trasfissione, fissatore esterno, fissatore circolare, staffe (di Blount)|CHOP 2015||||||||||{}
78.62.02|Ablation de matériel implanté dans humérus: vis de compression dynamique, clou médullaire avec composante articulaire|Knochenimplantatentfernung am Humerus, dynamische Kompressionsschraube, Marknagel mit Gelenkkomponente|Rimozione di dispositivo impiantato dall'omero: vite di compressione dinamica, chiodo endomidollare con componente articolare|CHOP 2015||||||||||{}
78.62.05|Ablation de matériel implanté dans l'os, humérus; enlèvement d'implant de remplacement (partiel) osseux, humérus|Knochenimplantatentfernung am Humerus, Entfernung eines Knochen(teil)ersatzes am Humerus|Rimozione di dispositivo impiantato dall'omero, Rimozione di sostituto osseo (parziale) dall'omero|CHOP 2015||||||||||{}
78.62.08|Ablation de matériel implanté dans humérus: autre matériel d'ostéosynthèse|Knochenimplantatentfernung am Humerus: sonstiges Osteosynthesematerial|Rimozione di dispositivo impiantato dall'omero, altro materiale di osteosintesi|CHOP 2015||||||||||{}
78.62.99|Ablation de matériel implanté dans l'os, humérus, autre|Knochenimplantatentfernung am Humerus, sonstige|Rimozione di dispositivo impiantato dall'omero, altro|CHOP 2015||||||||||{}
78.63|Ablation de matériel implanté dans l'os, radius et cubitus|Knochenimplantatentfernung an Radius und Ulna|Rimozione di dispositivo impiantato da radio e ulna|CHOP 2015||||||||||{}
78.63.00|Ablation de matériel implanté dans l'os, radius et cubitus, SAP|Knochenimplantatentfernung an Radius und Ulna, n.n.bez.|Rimozione di dispositivo impiantato da radio e ulna, NAS|CHOP 2015||||||||||{}
78.63.01|Ablation de matériel implanté dans le radius et le cubitus: fil (intramédullaire), vis, cerclage-haubanage, plaque (à stabilité angulaire), plaque angulaire/condylienne, clou médullaire, clou de verrouillage, vis de transfixation, fixateur externe, fixateur circulaire, agrafes (de Blount)|Knochenimplantatentfernung an Radius und Ulna, (intramedullärer) Draht, Schraube, Zuggurtung/Cerclage, (winkelstabile) Platte, Winkelplatte/Kondylenplatte, Marknagel, Verriegelungsnagel, Transfixationsnagel, Fixateur externe, Ringfixateur, (Blount-)Klammern|Rimozione di dispositivo impiantato da radio e ulna: filo (endomidollare), vite, cerchiaggio dinamico, placca (con stabilità angolare), placca angolata / condilare, chiodo endomidollare, chiodo di bloccaggio, chiodo di trasfissione, fissatore esterno, fissatore circolare, staffe (di Blount)|CHOP 2015||||||||||{}
78.63.05|Ablation de matériel implanté dans l'os, radius et cubitus; enlèvement d'implant de remplacement (partiel) osseux, radius et cubitus|Knochenimplantatentfernung an Radius und Ulna, Entfernung eines Knochen(teil)ersatzes an Radius und Ulna|Rimozione di dispositivo impiantato da radio e ulna, Rimozione di sostituto osseo (parziale) da radio e ulna|CHOP 2015||||||||||{}
78.63.08|Ablation de matériel implanté dans le radius et cubitus (proximal / diaphysaire / distal): autre matériel d'ostéosynthèse|Knochenimplantatentfernung an Radius und Ulna (proximal / Schaft / distal), sonstiges|Rimozione di dispositivo impiantato da radio e ulna (prossimale / corpo / distale): altro materiale di osteosintesi|CHOP 2015||||||||||{}
78.63.99|Ablation de matériel implanté dans l'os, radius et cubitus, autre|Knochenimplantatentfernung an Radius und Ulna, sonstige|Rimozione di dispositivo impiantato da radio e ulna, altro|CHOP 2015||||||||||{}
78.64|Ablation de matériel implanté dans l'os, os du carpe et du métacarpe|Knochenimplantatentfernung an Karpalia und Metakarpalia|Rimozione di dispositivo impiantato da carpo e metacarpo|CHOP 2015||||||||||{}
78.64.00|Ablation de matériel implanté dans l'os, os du carpe et du métacarpe, SAP|Knochenimplantatentfernung an Karpalia und Metakarpalia, n.n.bez.|Rimozione di dispositivo impiantato da carpo e metacarpo, NAS|CHOP 2015||||||||||{}
78.64.01|Ablation de matériel implanté dans l'os, os du carpe et du métacarpe: fil (intramédullaire), vis, cerclage-haubanage, plaque (à stabilité angulaire), fixateur externe, fixateur circulaire, agrafes (de Blount)|Knochenimplantatentfernung an Karpalia und Metakarpalia, (intramedullärer) Draht, Schraube, Zuggurtung/Cerclage, (winkelstabile) Platte, Fixateur externe, Ringfixateur, (Blount-)Klammern|Rimozione di dispositivo impiantato da carpo e metacarpo: filo (endomidollare), vite, cerchiaggio dinamico, placca (con stabilità angolare), fissatore esterno, fissatore circolare, staffe (di Blount)|CHOP 2015||||||||||{}
78.64.05|Ablation de matériel implanté dans l'os, os du carpe et du métacarpe; enlèvement d'implant de remplacement (partiel) osseux, os du carpe et du métacarpe|Knochenimplantatentfernung an Karpalia und Metakarpalia, Entfernung eines Knochen(teil)ersatzes an Karpalia und Metakarpalia|Rimozione di dispositivo impiantato da carpo e metacarpo, Rimozione di sostituto osseo (parziale) da carpo e metacarpo|CHOP 2015||||||||||{}
78.64.08|Ablation de matériel implanté dans l'os, os du carpe et du métacarpe: autre matériel d'ostéosynthèse|Knochenimplantatentfernung an Karpalia und Metakarpalia, sonstiges Osteosynthesematerial|Rimozione di dispositivo impiantato da carpo e metacarpo: altro materiale di osteosintesi|CHOP 2015||||||||||{}
78.64.99|Ablation de matériel implanté dans l'os, os du carpe et du métacarpe, autre|Knochenimplantatentfernung an Karpalia und Metakarpalia, sonstige|Rimozione di dispositivo impiantato da carpo e metacarpo, altro|CHOP 2015||||||||||{}
78.65|Ablation de matériel implanté dans l'os, fémur|Knochenimplantatentfernung am Femur|Rimozione di dispositivo impiantato dal femore|CHOP 2015||||||||||{}
78.65.00|Ablation de matériel implanté dans l'os, fémur, SAP|Knochenimplantatentfernung am Femur, n.n.bez.|Rimozione di dispositivo impiantato dal femore, NAS|CHOP 2015||||||||||{}
78.65.01|Ablation de matériel implanté dans le fémur: fil, fil intramédullaire, vis, cerclage-haubanage, plaque (à stabilité angulaire), plaque angulaire/condylienne, vis de compression dynamique, clou médullaire, fixateur externe, agrafes (de Blount)|Knochenimplantatentfernung am Femur, Draht, intramedullärer Draht, Schraube, Zuggurtung/Cerclage, (winkelstabile) Platte, Winkelplatte/Kondylenplatte, dynamische Kompressionsschraube, Marknagel, Fixateur externe, (Blount-)Klammern|Rimozione di dispositivo impiantato dal femore: filo, filo endomidollare, vite, cerchiaggio dinamico, placca (con stabilità angolare), placca angolata / condilare, vite di compressione dinamica, chiodo endomidollare, fissatore esterno, staffe (di Blount)|CHOP 2015||||||||||{}
78.65.02|Ablation de matériel implanté dans le fémur (col / proximal / distal, sauf diaphyse): clou médullaire avec composante articulaire, clou de verrouillage, vis de transfixation|Knochenimplantatentfernung am Femur (Schenkelhals / proximal / distal, ausser Schaft), Marknagel mit Gelenkkomponente, Verriegelungsnagel, Transfixationsnagel|Rimozione di dispositivo impiantato dal femore (collo femorale / prossimale / distale, eccetto corpo): chiodo endomidollare con componente articolare, chiodo di bloccaggio, chiodo di trasfissione|CHOP 2015||||||||||{}
78.65.03|Ablation de matériel implanté dans le fémur (diaphyse): clou médullaire avec composante articulaire|Knochenimplantatentfernung am Femur (Schaft), Marknagel mit Gelenkkomponente|Rimozione di dispositivo impiantato dal femore (corpo): chiodo endomidollare con componente articolare|CHOP 2015||||||||||{}
78.65.04|Ablation de matériel implanté dans le fémur (proximal / diaphyse / distal, sauf col): fixateur circulaire|Knochenimplantatentfernung am Femur (proximal / Schaft / distal, ausser Schenkelhals), Ringfixateur|Rimozione di dispositivo impiantato dal femore (prossimale / corpo / distale, eccetto collo femorale): fissatore circolare|CHOP 2015||||||||||{}
78.65.05|Ablation de matériel implanté dans l'os, fémur; enlèvement d'implant de remplacement (partiel) osseux, fémur|Knochenimplantatentfernung am Femur, Entfernung eines Knochen(teil)ersatzes am Femur|Rimozione di dispositivo impiantato dal femore, Rimozione di sostituto osseo (parziale) dal femore|CHOP 2015||||||||||{}
78.65.08|Ablation de matériel implanté dans le fémur: autre matériel d'ostéosynthèse|Knochenimplantatentfernung am Femur: sonstiges Osteosynthesematerial|Rimozione di dispositivo impiantato dal femore: altro materiale di osteosintesi|CHOP 2015||||||||||{}
78.65.99|Ablation de matériel implanté dans l'os, fémur, autre|Knochenimplantatentfernung am Femur, sonstige|Rimozione di dispositivo impiantato dal femore, altro|CHOP 2015||||||||||{}
78.66|Ablation de matériel implanté dans l'os, rotule|Knochenimplantatentfernung an der Patella|Rimozione di dispositivo impiantato dalla rotula|CHOP 2015||||||||||{}
78.66.00|Ablation de matériel implanté dans l'os, rotule, SAP|Knochenimplantatentfernung an der Patella, n.n.bez.|Rimozione di dispositivo impiantato dalla rotula, NAS|CHOP 2015||||||||||{}
78.66.01|Ablation de matériel implanté dans la rotule: fil (intramédullaire), vis, cerclage-haubanage, fixateur externe, agrafes (de Blount)|Knochenimplantatentfernung an der Patella, (intramedullärer) Draht, Schraube, Zuggurtung/Cerclage, Fixateur externe, (Blount-)Klammern|Rimozione di dispositivo impiantato dalla rotula: filo (endomidollare), vite, cerchiaggio dinamico, fissatore esterno, staffe (di Blount)|CHOP 2015||||||||||{}
78.66.05|Ablation de matériel implanté dans l'os, rotule; enlèvement d'implant de remplacement (partiel) osseux, rotule|Knochenimplantatentfernung an der Patella, Entfernung eines Knochen(teil)ersatzes an der Patella|Rimozione di dispositivo impiantato dalla rotula, Rimozione di sostituto osseo (parziale) dalla rotula|CHOP 2015||||||||||{}
78.66.08|Ablation de matériel implanté dans la rotule: autre matériel d'ostéosynthèse|Knochenimplantatentfernung an der Patella, sonstiges Osteosynthesematerial|Rimozione di dispositivo impiantato dalla rotula: altro materiale di osteosintesi|CHOP 2015||||||||||{}
78.66.99|Ablation de matériel implanté dans l'os, rotule, autre|Knochenimplantatentfernung an der Patella, sonstige|Rimozione di dispositivo impiantato dalla rotula, altro|CHOP 2015||||||||||{}
78.67|Ablation de matériel implanté dans l'os, tibia et péroné|Knochenimplantatentfernung an Tibia und Fibula|Rimozione di dispositivo impiantato da tibia e fibula|CHOP 2015||||||||||{}
78.67.00|Ablation de matériel implanté dans l'os, tibia et péroné, SAP|Knochenimplantatentfernung an Tibia und Fibula, n.n.bez.|Rimozione di dispositivo impiantato da tibia e fibula, NAS|CHOP 2015||||||||||{}
78.67.01|Ablation de matériel implanté dans le tibia et le péroné: fil (intramédullaire), vis, cerclage-haubanage, fixateur externe, fixateur circulaire, agrafes (de Blount)|Knochenimplantatentfernung an Tibia und Fibula, (intramedullärer) Draht, Schraube, Zuggurtung/Cerclage, Fixateur externe, Ringfixateur, (Blount-)Klammern|Rimozione di dispositivo impiantato da tibia e fibula: filo (endomidollare), vite, cerchiaggio dinamico, fissatore esterno, fissatore circolare, staffe (di Blount)|CHOP 2015||||||||||{}
78.67.05|Ablation de matériel implanté dans l'os, tibia et péroné; enlèvement d'implant de remplacement (partiel) osseux, tibia et péroné|Knochenimplantatentfernung an Tibia und Fibula, Entfernung eines Knochen(teil)ersatzes an Tibia und Fibula|Rimozione di dispositivo impiantato da tibia e fibula, Rimozione di sostituto osseo (parziale) da tibia e fibula|CHOP 2015||||||||||{}
78.67.11|Ablation de matériel implanté dans le tibia: plaque (à stabilité angulaire), plaque angulaire/condylienne|Knochenimplantatentfernung an der Tibia, (winkelstabile) Platte, Winkelplatte / Kondylenplatte|Rimozione di dispositivo impiantato dalla tibia: placca (con stabilità angolare), placca angolata / condilare|CHOP 2015||||||||||{}
78.67.12|Ablation de matériel implanté dans le tibia:  clou médullaire, clou de verrouillage, vis de transfixation|Knochenimplantatentfernung an der Tibia, Marknagel, Verriegelungsnagel, Transfixationsnagel|Rimozione di dispositivo impiantato dalla tibia:  chiodo endomidollare, chiodo di bloccaggio, chiodo di trasfissione|CHOP 2015||||||||||{}
78.67.13|Ablation de matériel implanté dans le tibia: vis de compression dynamique|Knochenimplantatentfernung an der Tibia, dynamische Kompressionsschraube|Rimozione di dispositivo impiantato dalla tibia: vite di compressione dinamica|CHOP 2015||||||||||{}
78.67.21|Ablation de matériel implanté dans le péroné: plaque (à stabilité angulaire)|Knochenimplantatentfernung an der Fibula, (winkelstabile) Platte|Rimozione di dispositivo impiantato dalla fibula: placca (con stabilità angolare)|CHOP 2015||||||||||{}
78.67.22|Ablation de matériel implanté dans le péroné: clou médullaire, clou de verrouillage, vis de transfixation|Knochenimplantatentfernung an der Fibula, Marknagel, Verriegelungsnagel, Transfixationsnagel|Rimozione di dispositivo impiantato dalla fibula: chiodo endomidollare, chiodo di bloccaggio, chiodo di trasfissione|CHOP 2015||||||||||{}
78.67.28|Ablation de matériel implanté dans le tibia et le péroné: autre matériel d'ostéosynthèse|Knochenimplantatentfernung an Tibia und Fibula, sonstiges Osteosynthesematerial|Rimozione di dispositivo impiantato da tibia e fibula: altro materiale di osteosintesi|CHOP 2015||||||||||{}
78.67.99|Ablation de matériel implanté dans l'os, tibia et péroné, autre|Knochenimplantatentfernung an Tibia und Fibula, sonstige|Rimozione di dispositivo impiantato da tibia e fibula, altro|CHOP 2015||||||||||{}
78.68|Ablation de matériel implanté dans l'os, os du tarse et du métatarse|Knochenimplantatentfernung an Tarsalia und Metatarsalia|Rimozione di dispositivo impiantato da tarso e metatarso|CHOP 2015||||||||||{}
78.68.00|Ablation de matériel implanté dans l'os, tarse et métatarse, SAP|Knochenimplantatentfernung an Tarsalia und Metatarsalia, n.n.bez.|Rimozione di dispositivo impiantato da tarso e metatarso, NAS|CHOP 2015||||||||||{}
78.68.01|Ablation de matériel implanté dans les os du tarse et du métatarse: fil (intramédullaire), vis, cerclage-haubanage, plaque (à stabilité angulaire), fixateur externe, fixateur circulaire, agrafes (de Blount)|Knochenimplantatentfernung an Tarsalia und Metatarsalia, (intramedullärer) Draht, Schraube, Zuggurtung/Cerclage, winkelstabile) Platte, Fixateur externe, Ringfixateur, (Blount-)Klammern|Rimozione di dispositivo impiantato da tarso e metatarso: filo (endomidollare), vite, cerchiaggio dinamico, placca (con stabilità angolare), fissatore esterno, fissatore circolare, staffe (di Blount)|CHOP 2015||||||||||{}
78.68.05|Ablation de matériel implanté dans l'os, os du tarse et du métatarse; enlèvement d'implant de remplacement (partiel) osseux, astragale et calcanéum|Knochenimplantatentfernung an Tarsalia und Metatarsalia, Entfernung eines Knochen(teil)ersatzes an Talus und Kalkaneus|Rimozione di dispositivo impiantato da tarso e metatarso, Rimozione di sostituto osseo (parziale) da talo e calcagno|CHOP 2015||||||||||{}
78.68.06|Ablation de matériel implanté dans l'os, os du tarse et du métatarse; enlèvement d'implant de remplacement (partiel) osseux, autres os du tarse et du métatarse|Knochenimplantatentfernung an Tarsalia und Metatarsalia, Entfernung eines Knochen(teil)ersatzes an sonstigen Tarsalia und Metatarsalia|Rimozione di dispositivo impiantato da tarso e metatarso, Rimozione di sostituto osseo (parziale) da altre ossa tarsali e metatarsali|CHOP 2015||||||||||{}
78.68.08|Ablation de matériel implanté dans les os du tarse et du métatarse: autre matériel d'ostéosynthèse|Knochenimplantatentfernung an Tarsalia und Metatarsalia, sonstiges Osteosynthesematerial|Rimozione di dispositivo impiantato da tarso e metatarso: altro materiale di osteosintesi|CHOP 2015||||||||||{}
78.68.99|Ablation de matériel implanté dans l'os, os du tarse et du métatarse, autre|Knochenimplantatentfernung an Tarsalia und Metatarsalia, sonstige|Rimozione di dispositivo impiantato da tarso e metatarso, altro|CHOP 2015||||||||||{}
78.69|Ablation de matériel implanté dans l'os, autre os spécifié, sauf os de la face|Knochenimplantatentfernung an anderen näher bezeichneten Knochen, ausser Gesichtsschädelknochen|Rimozione di dispositivo impiantato da altre ossa specificate, escluse quelle facciali|CHOP 2015|||||||{Beckenknochen, Phalangen (der Hand) (des Fusses), Wirbel}|{Os pelviens, phalanges (de la main) (du pied), vertèbres}|{Ossa pelviche, falangi (del piede) (della mano), vertebre}|{}
78.69.00|Ablation de matériel implanté dans l'os, autre os spécifié, sauf os de la face, SAP|Knochenimplantatentfernung an anderen näher bezeichneten Knochen, ausser Gesichtsschädelknochen, n.n.bez.|Rimozione di dispositivo impiantato da altre ossa specificate, escluse quelle facciali, NAS|CHOP 2015||||||||||{}
78.69.11|Ablation de matériel implanté dans les phalanges de la main: fil (intramédullaire), vis, cerclage-haubanage, plaque (à stabilité angulaire), fixateur externe, agrafes (de Blount)|Knochenimplantatentfernung an Phalangen der Hand, (intramedullärer) Draht, Schraube, Zuggurtung/Cerclage, (winkelstabile) Platte, Fixateur externe, (Blount-)Klammern|Rimozione di dispositivo impiantato dalle falangi della mano: filo (endomidollare), vite, cerchiaggio dinamico, placca (con stabilità angolare), fissatore esterno, staffe (di Blount)|CHOP 2015||||||||||{}
78.69.15|Ablation de matériel implanté dans l'os, autre site spécifié, sauf os de la face; enlèvement d'implant de remplacement (partiel) osseux, phalanges de la main|Knochenimplantatentfernung an anderen näher bezeichneten Knochen, ausser Gesichtsschädelknochen, Entfernung eines Knochen(teil)ersatzes an Phalangen der Hand|Rimozione di dispositivo impiantato da altre ossa specificate, escluse quelle facciali, Rimozione di sostituto osseo (parziale) da falangi delle mani|CHOP 2015||||||||||{}
78.69.18|Ablation de matériel implanté dans les phalanges de la main: autre matériel d'ostéosynthèse|Knochenimplantatentfernung an Phalangen der Hand, sonstiges Osteosynthesematerial|Rimozione di dispositivo impiantato dalle falangi della mano: altro materiale di osteosintesi|CHOP 2015||||||||||{}
78.69.21|Ablation de matériel implanté dans les os du bassin: fil, vis, cerclage-haubanage, fixateur externe, fixateur circulaire, agrafes (de Blount)|Knochenimplantatentfernung am Becken, Draht, Schraube, Zuggurtung/Cerclage, Fixateur externe, Ringfixateur, (Blount-)Klammern|Rimozione di dispositivo impiantato dalle ossa pelviche: filo, vite, cerchiaggio dinamico, fissatore esterno, fissatore circolare, staffe (di Blount)|CHOP 2015||||||||||{}
78.69.22|Ablation de matériel implanté dans les os du bassin: plaque (à stabilité angulaire)|Knochenimplantatentfernung am Becken, (winkelstabile) Platte|Rimozione di dispositivo impiantato dalle ossa pelviche: placca (con stabilità angolare)|CHOP 2015||||||||||{}
78.69.25|Ablation de matériel implanté dans l'os, autre site spécifié, sauf os de la face; enlèvement d'implant de remplacement (partiel) osseux, os du bassin|Knochenimplantatentfernung an anderen näher bezeichneten Knochen, ausser Gesichtsschädelknochen, Entfernung eines Knochen(teil)ersatzes am Becken|Rimozione di dispositivo impiantato da altre ossa specificate, escluse quelle facciali, Rimozione di sostituto osseo (parziale) dalle ossa pelviche|CHOP 2015||||||||||{}
78.69.28|Ablation de matériel implanté dans les os du bassin: autre matériel d'ostéosynthèse|Knochenimplantatentfernung am Becken, sonstiges Osteosynthesematerial|Rimozione di dispositivo impiantato dalle ossa pelviche: altro materiale di osteosintesi|CHOP 2015||||||||||{}
